0,0,0,0
1000,0,91.5,28.0333
2000,0,284.1,110.267
3000,0,517.8,244.933
4000,0,822.633,434.633
5000,0,1145,679.5
6000,0,1538.77,978.833
7000,0,1986.63,1330.07
8000,0,2467,1731.9
9000,0,2955.7,2201.23
10000,0,3455.77,2706.17
11000,0,3936.23,3267.27
12000,0,4634.03,3889.27
13000,0,5277.1,4562.2
14000,0,5932.83,5287.8
15000,0,6648.47,6068.53
16000,0,7408.1,6897.7
17000,0,8089.3,7784.13
18000,0,8842.9,8729.73
19000,0,9490.27,9725.03
20000,0,10445.1,10972.3
21000,0,11185.5,12118.4
22000,0,11981.8,13290.4
23000,0,13055.2,14494.1
24000,0,14114.7,15783.5
25000,0,15121,17158
26000,0,16201.6,18584.2
27000,0,17067.9,19998.9
28000,0,18177.9,21505.1
29000,0,19373.1,23355.4
30000,0,20498.4,24785.8
31000,0,21634.3,26259.3
32000,0,22752.6,28117.2
33000,0,23794.5,29867.9
34000,0,24922.2,31689.9
35000,0,26113.5,33798.4
36000,0,27812.6,35070.4
38000,0,28752.5,39725.5
40000,0,32242.7,44486.7
42000,0,33852.2,50042.5
44000,0,36529,54137.3
46000,0,38813.1,60267
48000,0,43239.8,64213.2
50000,0,45340.1,71130.5
52000,0,48350.6,74135.3
54000,0,51548.9,80348.1
56000,0,54787.9,86194.7
58000,0,58152.2,92239.4
60000,0,61318.4,98709.9
62000,0,64802.3,105353
64000,0,68286.5,112391
66000,0,71468,119433
68000,0,74378.5,126749
70000,0,77629.1,137780
72000,0,82879.9,145106
74000,0,88346.4,154794
76000,0,88449.1,162488
78000,0,91306.3,171643
80000,0,99582.8,182432
82000,0,98220.9,190558
84000,0,103759,202016
86000,0,107989,203881
88000,0,107686,218176
90000,0,112805,226118
92000,0,118578,234074
94000,0,122704,242932
96000,0,127272,253241
98000,0,132084,263574
100000,0,135800,275956